index,weibo_id,comment_text,gender,location,like,date,label,category,target,cut
0,J1zF7smOR,她们不结婚不要孩子，却觉得我们这种结婚有孩子的是婚驴,女,广东,14,12/05/2020 15:04,1,SCB,G,"['结婚', '孩子', '结婚', '孩子', '婚驴']"
1,GvXf0ymdJ,妈的什么时候有人来性侵我一下啊  不要封口费的那种,男,其他,36,23/08/2018 13:10,1,SO,I,"['妈的', '有人', '性侵', '封口费', '那种']"
2,J2XeR8rPn,我觉得这就是对一类人所有的特点进行形容吧，“爹味”也是贬义词，为什么不觉得有性别歧视意味呢？,女,浙江,0,21/05/2020 16:12,1,MA,G,"['这就', '一类', '形容', '爹味', '贬义词', '性别', '歧视', '意味']"
3,IxpfTCMAo,姐姐你不要急，关注久的都知道她骂的一切归根结底都是渴婚的，她并不骂学艺术的，她骂的是不肯像培养儿子一样培养女儿，给女儿学跳舞弹琴之类想给女儿加码卖更好价钱的，她并不是骂艺术，而是目的性的学，并且是恶心目的，如果没有这个想法有啥好气的啊？而且明明骂男人更毒更厉害，都涉及人身攻击了呀,女,江苏,1,31/03/2020 13:57,1,MA,I,"['姐姐', '关注', '渴婚', '骂学', '艺术', '培养', '儿子', '培养', '女儿', '女儿学', '跳舞', '弹琴', '女儿', '加码', '价钱', '艺术', '目的性', '恶心', '目的', '想法', '好气', '明明', '男人', '厉害', '涉及', '人身', '攻击']"
4,J4B0Mps5Q,"给他们争取权利的不是女权是腐女，你该不会说腐女都女权吧？连女同性恋都不是全部女权，腐女？,男同性恋好吗？女同性恋在你眼里又隐身了",女,其他,0,##########,1,MA,G,"['权利', '女权', '腐女', '腐女', '女权', '同性恋', '女权', '腐女', '同性恋', '同性恋', '眼里', '隐身']"
5,Iv3BGpYYh,此类人虽说我平时少见，但今天这位一谈feminist就女拳的同学还是令我想隔着屏幕对他重拳出击,女,广东,0,20/02/2020 13:33,1,MA,G,"['此类', '平时', '少见', '这位', 'feminist', '女拳', '同学', '屏幕', '重拳', '出击']"
6,I0lrrwYk1,人夫妻相处之道我们也不知道，可能就抓拍了这一小段有什么原因也不一定，看着是不好看，不过上升到人身攻击批评就过头了。抠字眼估计是因为现在微博太多那种文章，就家务平摊，男生说帮女生忙是不对的，因为家务是两个人一起分担的。。而不是你来帮我。。估计这种文章太多,女,广东,0,03/08/2019 11:34,1,SCB,G,"['夫妻', '相处', '抓拍', '小段', '原因', '好看', '人身', '攻击', '批评', '过头', '抠字眼', '估计', '微博', '那种', '文章', '家务', '平摊', '男生', '女生', '家务', '分担', '。。', '。。', '估计', '文章']"
7,Fq0uZhLsx,你拉鸡八倒吧，法律还说人人平等呢   ， 现实 真的 人人平等了吗？ 真是 搞笑的很。  现实什么样， 你看不到 还是你装作看不到？,女,湖北,3,12/10/2017 11:48,1,MA,I,"['拉鸡', '法律', '平等', '现实', '平等', '搞笑', '现实', '装作']"
8,GCna42DUe,说了这么多你不就是在用metoo一个特例来给你骡子洗白么 还顺便把metoo骂得这么狗屁不是 就算人报道不准确 任何运动的发起都有两面性 就算被当作工具 也有积极的效益 我看你这这一通乱喷 真的搞笑 你以为没有metoo被QJ的人就没人出来说话了？,男,海外,0,06/10/2018 21:44,1,MA,I,"['metoo', '特例', '骡子', '白么', '顺便', 'metoo', '狗屁', '就算人', '报道', '准确', '运动', '发起', '两面性', '当作', '工具', '效益', '通乱', '搞笑', 'metoo', 'QJ', '说话']"
9,IAifa6B01,WA话说的没错啊…当年颁奖季🍵就是站在metoo这边的,女,北京,9,25/03/2020 23:29,1,MA,G,"['WA话说', '没错', '当年', '颁奖', '季🍵', 'metoo']"
10,H870uCZJN,谢谢您的祝福，感谢男人们拼杀各种“战场”卫国保家，我不想当花木兰，只想当小女人。,女,海外,0,20/12/2018 16:59,1,SCB,I,"['谢谢', '祝福', '感谢', '男人们', '拼杀', '战场', '卫国', '保家', '花木兰', '小女人']"
11,FbqAJu34X,看到你这逻辑也是醉，所以你是觉得该一辈子活在社会人文的关怀下才？这跟残疾人受社会关怀有什么区别？所谓男女平等，就是让男女在社会上的机会和对待平等，所以你是觉得不应该惩罚罪犯而是应该把受害者关起来？说实话你这种才是男权的附属品谢谢,女,广东,4,09/07/2017 10:00,1,MA,I,"['逻辑', '一辈子', '社会', '人文', '关怀', '残疾人', '社会', '关怀', '区别', '男女', '平等', '男女', '社会', '机会', '平等', '惩罚', '罪犯', '受害者', '实话', '男权', '附属品', '谢谢']"
12,IhRGQBlwT,太对了，当我开始给我前男友讲道理的时候他要不胡搅蛮缠各种毫无逻辑的反驳你，要不就说受不了别人发长篇大论的短信给他，到最后更牛皮直接承认说“我可以跟你讲道理（反驳你打压你），但我（你）不想（能）听你（划掉）跟我讲道理”。,女,其他,9,07/12/2019 14:30,1,MA,I,"['男友', '道理', '胡搅蛮缠', '逻辑', '反驳', '受不了', '长篇大论', '短信', '牛皮', '承认', '道理', '反驳', '打压', '划掉', '道理']"
13,H4ZnYloq8,"我的理解还是这是一种平等之下的合理差异吧 法律有局限性 这是不可否认的 现在的社会我认为确实男权社会 法律也不能跳出这个圈子 所以必须对可能处于弱势地位女性一些特殊保护,保护男性被qj法律还是有的 只不过保护的力度没有保护妇女的力度要大（仅从立法角度来说，实践中执行的可能不好）",男,安徽,0,30/11/2018 05:52,1,SCB,G,"['理解', '这是', '平等', '之下', '差异', '法律', '局限性', '这是', '否认', '社会', '确实', '男权', '社会', '法律', '跳出', '圈子', '处于', '弱势', '地位', '女性', '保护', '保护', '男性', 'qj', '法律', '只不过', '保护', '力度', '保护', '妇女', '力度', '立法', '角度', '实践', '执行']"
14,J6ho9pevX,啥女权不女权的，实际上像我这种女性特征不明显的女性，非常容易和男生交流，就不可能谈得上仇男，这才是平等。,女,其他,0,13/06/2020 00:54,1,SCB,G,"['女权', '女权', '实际上', '女性', '特征', '女性', '男生', '交流', '仇男', '这才', '平等']"
15,FF6XeAi5p,重点:1.metoo是为了保护其他被性侵女性，不是为了攻击男性；2.阿萨里不是性侵者，他只是实施了让人不舒服的性行为；3.metoo从不认为qj、性侵和不舒服的性行为是等同的；4.女性有权公开讨论不舒服的性行为；5.公开讨论不是为了毁掉男性；6.男性如果在嘿咻时不懂尊重女性，就找五指姑娘吧,女,北京,1,20/01/2018 00:44,1,MA,G,"['重点', '1.', 'metoo', '保护', '性侵', '女性', '攻击', '男性', '阿萨', '性侵者', '实施', '舒服', '性行为', '3.metoo', 'qj', '性侵', '舒服', '性行为', '等同', '4.', '女性', '公开', '讨论', '舒服', '性行为', '5.', '公开', '讨论', '毁掉', '男性', '男性', '嘿咻', '尊重', '女性', '五指', '姑娘']"
